USD_GBP,0.76758
USD_JPY,111.20501
USD_MXN,19.252235
USD_EUR,0.862385
USD_CNY,6.8544
USD_KHR,4076.000514
USD_HRK,6.40045
USD_CZK,22.110103
USD_CAD,1.316165
USD_AWG,1.8
USD_RUB,70.440502
USD_KES,100.73986
USD_XAF,566.919974
USD_TMT,3.505
USD_KYD,0.833845
USD_SGD,1.379298
USD_CVE,95.4495
USD_BND,1.510645
USD_CLP,695.794781
USD_NZD,1.533175
USD_XOF,575.000228
USD_DOP,50.194961
USD_EGP,17.837503
USD_CZK,22.110103
USD_ANG,1.84606
USD_CUC,1
USD_CUP,26.5
USD_XCD,2.70255
USD_DKK,6.43228
USD_XAF,566.919974
USD_GMD,48.034979
USD_XPF,103.04946
USD_GEL,2.595034
USD_AED,3.673205
USD_UGX,3780.050346
USD_GBP,0.76758
USD_JPY,111.20501
USD_MXN,19.252235
USD_EUR,0.862385
USD_CNY,6.8544
USD_KHR,4076.000514
USD_HRK,6.40045
USD_CZK,22.110103
USD_CAD,1.316165
USD_AWG,1.8
USD_RUB,70.440502
USD_KES,100.73986
USD_XAF,566.919974
USD_TMT,3.505
USD_KYD,0.833845
USD_SGD,1.379298
USD_CVE,95.4495
USD_BND,1.510645
USD_CLP,695.794781
USD_NZD,1.533175
USD_XOF,575.000228
USD_DOP,50.194961
USD_EGP,17.837503
USD_CZK,22.110103
USD_ANG,1.84606
USD_CUC,1
USD_CUP,26.5
USD_XCD,2.70255
USD_DKK,6.43228
USD_XAF,566.919974
USD_GMD,48.034979
USD_XPF,103.04946
USD_GEL,2.595034
USD_AED,3.673205
USD_UGX,3780.050346
